basebrgy	basehhno	basewman	uncmomid	uncchdid	MOMCH07	linenumb	relhead	relmom	relindex	sex	monbirth	yearbirt	age	gradecom	vocation	inschool
32	27	27	13281	23281	2	1	0	1	2	1	11	1954	53	-9	0	-9
32	27	27	13281	23281	2	2	1	0	3	2	6	1955	52	6	0	0
28	168	168	13047	23047	2	4	4	4	6	1	10	1987	20	-9	0	-9
32	27	27	13281	23281	2	3	4	4	6	1	12	1981	25	-9	0	-9
28	168	168	13047	23047	2	5	4	4	6	1	6	1989	18	-9	0	-9
30	53	53	13199	23199	1	5	19	19	1	1	4	1983	24	-9	0	-9
30	53	53	13199	23199	1	6	8	8	4	1	10	2003	4	-9	0	-9
30	53	53	13199	23199	1	7	8	8	4	1	8	2005	2	-9	0	-9
30	53	53	13199	23199	1	8	5	5	7	2	9	1988	19	-9	0	-9
30	53	53	13199	23199	1	9	19	19	21	1	5	1987	20	-9	0	-9
30	53	53	13199	23199	1	10	8	8	15	1	10	2007	0	-9	0	-9
14	98	98	12051	22051	1	1	0	1	2	1	12	1961	45	-9	0	-9
14	98	98	12051	22051	1	2	1	0	3	2	2	1961	46	10	0	0
14	98	98	12051	22051	1	3	5	5	34	2	12	1983	23	11	0	0
14	98	98	12051	22051	1	4	4	4	6	1	3	1991	16	-9	0	-9
14	77	77	12032	22032	1	1	0	0	3	2	6	1954	53	3	0	0
14	77	77	12032	22032	1	2	1	1	2	1	1	1952	55	-9	0	-9
14	77	77	12032	22032	1	3	4	4	6	1	4	1979	28	-9	0	-9
14	77	77	12032	22032	1	4	5	5	34	2	12	1983	23	11	0	0
14	90	90	12045	22045	1	1	0	1	2	1	12	1955	52	-9	0	-9
14	90	90	12045	22045	1	2	1	0	3	2	2	1956	51	12	0	0
14	90	90	12045	22045	1	3	4	4	6	1	8	1976	31	-9	0	-9
14	90	90	12045	22045	1	4	4	4	34	1	9	1983	24	14	0	1
14	90	90	12045	22045	1	5	5	5	7	2	9	1990	17	-9	0	-9
14	90	90	12045	22045	1	6	4	4	6	1	6	1995	12	-9	0	-9
14	60	60	12020	22020	1	1	0	1	2	1	3	1959	48	-9	0	-9
14	60	60	12020	22020	1	2	1	0	3	2	8	1954	53	8	0	0
14	60	60	12020	22020	1	3	4	4	6	1	10	1979	28	-9	0	-9
14	60	60	12020	22020	1	4	4	4	6	1	1	1981	26	-9	0	-9
14	60	60	12020	22020	1	5	5	5	34	2	6	1983	24	13	0	0
28	74	74	12968	22968	2	1	0	1	2	1	9	1956	51	-9	0	-9
28	74	74	12968	22968	2	2	1	0	3	2	4	1961	46	5	0	0
28	74	74	12968	22968	2	3	4	4	6	1	5	1986	21	-9	0	-9
28	74	74	12968	22968	2	4	4	4	6	1	2	1989	18	-9	0	-9
28	74	74	12968	22968	2	5	4	4	6	1	9	1991	16	-9	0	-9
11	184	184	11517	21517	1	3	4	4	6	1	12	1982	24	-9	0	-9
11	184	184	11517	21517	1	4	4	4	34	1	4	1984	23	11	1	0
