basebrgy	basehhno	basewman	uncmomid	uncchdid	MOMCH07	mommain	mainplac	brgymain	munimain	mainhrs	DOJOB1	secnjob	momsecnd	secnplac	brgysecn	munisecn	secnhrs	DOJOB2	benefits	volbenef	everofw	JOBLOC1	OFWTYPE1	OFWSMON1	OFWSYR1	OFWEMON1	OFWEYR1	JOBLOC2	OFWTYPE2	OFWSMON2	OFWSYR2	OFWEMON2	OFWEYR2	JOBLOC3	OFWTYPE3	OFWSMON3	OFWSYR3	OFWEMON3	OFWEYR3	JOBLOC4	OFWTYPE4	OFWSMON4	OFWSYR4	OFWEMON4	OFWEYR4
3	287	287	10450	20450	1	3	1	-9	-9	40.0	1	0	-9	-9	-9	-9	-9.0	-9	1	-9	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
3	150	150	10320	20320	2	3	1	-9	-9	40.0	5	0	-9	-9	-9	-9	-9.0	-9	0	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
3	256	256	10419	20419	1	5	0	-9	-9	42.0	5	1	3	0	-9	-9	28.0	5	0	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
3	243	243	13315	23315	1	0	-9	-9	-9	-9.0	-9	-9	-9	-9	-9	-9	-9.0	-9	-9	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
3	18	18	10244	20244	1	5	2	-9	-9	84.0	6	0	-9	-9	-9	-9	-9.0	-9	0	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
3	119	119	10303	20303	1	0	-9	-9	-9	-9.0	-9	-9	-9	-9	-9	-9	-9.0	-9	-9	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
3	258	258	10421	20421	2	3	1	-9	-9	9.0	1	0	-9	-9	-9	-9	-9.0	-9	0	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
3	180	180	10348	20348	1	4	4	206	-9	5.0	1	1	3	1	-9	-9	2.0	1	0	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
3	159	159	10328	20328	1	3	1	-9	-9	56.0	1	0	-9	-9	-9	-9	-9.0	-9	0	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
3	267	267	10430	20430	1	0	-9	-9	-9	-9.0	-9	-9	-9	-9	-9	-9	-9.0	-9	-9	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
