basebrgy	basehhno	basewman	BRGAY05	HHNUMB05	WOMAN05	MOMCH05	uncmomid	moperson	dayprson	yrperson	linenumb	relhead	relmom	relindex	paidcash	sex	monbirth	yearbirt	age	resident	gradecom	inschool	worknow	workpast
16	31	31	16	31	31	1	12178	3	12	2005	1	0	1	2	-9	1	3	1955	49	1	13	0	1	-9
16	31	31	16	31	31	1	12178	3	12	2005	2	1	0	3	-9	2	1	1960	45	1	11	0	1	-9
16	31	31	16	31	31	1	12178	3	12	2005	3	5	5	34	-9	2	6	1983	21	1	15	1	0	0
16	31	31	16	31	31	1	12178	3	12	2005	4	4	4	6	-9	1	3	1987	18	1	10	1	0	0
16	31	31	16	31	31	1	12178	3	12	2005	5	4	4	6	-9	1	9	1993	11	1	4	1	0	0
8	100	100	289	3503	100	2	10958	4	13	2005	1	0	1	38	-9	1	6	1974	30	1	11	0	1	-9
8	100	100	289	3503	100	2	10958	4	13	2005	2	1	0	3	-9	2	5	1964	40	1	6	0	1	-9
8	100	100	289	3503	100	2	10958	4	13	2005	3	4	4	41	-9	1	3	2001	4	1	-9	-9	-9	-9
8	100	100	289	3503	100	2	10958	4	13	2005	4	5	5	42	-9	2	2	2004	1	1	-9	-9	-9	-9
8	99	99	267	2067	99	1	10957	2	22	2005	3	5	5	34	-9	2	11	1983	21	1	8	0	1	-9
8	99	99	267	2067	99	1	10957	2	22	2005	4	5	5	7	-9	2	2	1989	16	1	6	1	0	0
16	150	150	16	150	150	1	12274	3	8	2005	1	0	1	2	-9	1	5	1952	52	1	13	0	1	-9
16	150	150	16	150	150	1	12274	3	8	2005	2	1	0	3	-9	2	2	1954	51	1	11	0	1	-9
16	150	150	16	150	150	1	12274	3	8	2005	3	4	4	6	-9	1	9	1979	25	1	12	1	0	0
16	150	150	16	150	150	1	12274	3	8	2005	4	5	5	7	-9	2	1	1982	23	1	15	0	1	-9
16	150	150	16	150	150	1	12274	3	8	2005	5	4	4	34	-9	1	2	1984	21	1	11	0	0	0
16	150	150	16	150	150	1	12274	3	8	2005	6	4	4	6	-9	1	5	1986	18	1	11	0	0	0
17	297	297	254	297	297	1	12505	5	10	2005	1	0	1	2	-9	1	4	1953	52	1	10	0	1	-9
16	150	150	16	150	150	1	12274	3	8	2005	7	4	4	6	-9	1	5	1988	16	1	10	0	0	0
17	297	297	254	297	297	1	12505	5	10	2005	2	1	0	3	-9	2	7	1957	47	1	6	0	1	-9
16	150	150	16	150	150	1	12274	3	8	2005	8	4	4	6	-9	1	3	1990	14	1	8	1	0	0
17	297	297	254	297	297	1	12505	5	10	2005	3	5	5	34	-9	2	2	1984	21	1	11	0	0	0
16	150	150	16	150	150	1	12274	3	8	2005	9	4	4	6	-9	1	4	1992	12	1	8	1	0	0
17	297	297	254	297	297	1	12505	5	10	2005	4	4	4	6	-9	1	11	1989	15	1	10	0	0	0
16	150	150	16	150	150	1	12274	3	8	2005	10	4	4	6	-9	1	11	1994	10	1	2	1	0	0
16	150	150	16	150	150	1	12274	3	8	2005	11	5	5	7	-9	2	1	1997	8	1	1	1	0	0
16	150	150	16	150	150	1	12274	3	8	2005	12	5	5	7	-9	2	8	2002	2	1	-9	-9	-9	-9
16	140	140	16	140	140	1	12264	3	20	2005	1	0	1	2	-9	1	6	1954	50	1	3	0	1	-9
16	140	140	16	140	140	1	12264	3	20	2005	2	1	0	3	-9	2	4	1955	49	1	4	0	1	-9
16	140	140	16	140	140	1	12264	3	20	2005	3	5	5	7	-9	2	5	1980	24	1	14	0	0	0
8	158	158	8	158	158	1	11007	2	17	2005	1	0	1	2	-9	1	12	1956	48	1	6	0	1	-9
8	158	158	8	158	158	1	11007	2	17	2005	2	1	0	3	-9	2	1	1959	46	1	4	0	1	-9
8	158	158	8	158	158	1	11007	2	17	2005	3	5	5	34	-9	2	3	1984	20	1	12	0	1	-9
16	167	167	141	5145	167	1	12285	5	12	2005	1	0	1	2	-9	1	10	1958	46	1	11	0	1	-9
16	167	167	141	5145	167	1	12285	5	12	2005	2	1	0	3	-9	2	5	1956	48	1	12	0	0	0
