basebrgy	basehhno	basewman	BRGAY05	HHNUMB05	WOMAN05	MOMCH05	uncmomid	moincome	dayincom	yrincome	linenumb	workstat	mainoccu	mainjob	farmstat	nonfarm	hrsjob	benefits	taxes	secndjob	secnoccu	jobsecnd	FARMSTA2	NONFARM2	HRSJOB2	BENEFIT2	TAXES2	hrsdayt	dayswkt	timepay	weektime	REGUJE1	finishp	paypiece	hrsdaypc	dyswekpc	weekpc	REGUJE2	hrsfarm	dywkfarm	wkyrfarm	REGUJE3A	livestok	daywkliv	wkyrlivs	REGUJE3B	expnsto	incmstok	consstok	hrsfish	dywkfish	wkyrfish	REGUJE4	incfish	familbus	typebus	homebus	hrsself	dywkself	wkyrself	REGUJE5	incmself
13	84	84	13	84	84	1	11649	1	8	2005	5	2	764	3	-9	1	-9	1	0	-9	-9	-9	-9	-9	-9	-9	-9	8	6.0	208	9.0	4	-9	-9	-9	-9	-9	-9	-9	-9.0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9.0	-9	-9	-9
17	307	307	17	307	307	1	12515	1	29	2005	2	2	331	3	-9	2	42	0	0	-9	-9	-9	-9	-9	-9	-9	-9	6	7.0	33.33	36.0	4	-9	-9	-9	-9	-9	-9	-9	-9.0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9.0	-9	-9	-9
17	307	307	17	307	307	1	12515	1	29	2005	3	2	829	3	-9	2	-9	1	1	-9	-9	-9	-9	-9	-9	-9	-9	12	7.0	120	8.0	4	-9	-9	-9	-9	-9	-9	-9	-9.0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9.0	-9	-9	-9
17	307	307	17	307	307	1	12515	1	29	2005	1	3	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9.0	-9	-9.0	-9	-9	-9	-9	-9	-9	-9	-9	-9.0	-9	-9	0.5	7	8	3	288	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9.0	-9	-9	-9
13	136	136	13	136	136	1	11686	1	10	2005	1	1	331	3	-9	2	48	1	1	0	-9	-9	-9	-9	-9	-9	-9	8	6.0	296.15	52.0	1	-9	-9	-9	-9	-9	-9	-9	-9.0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9.0	-9	-9	-9
13	136	136	13	136	136	1	11686	1	10	2005	2	1	332	3	-9	1	32	0	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9.0	-9	-9.0	-9	-9	-9	-9	-9	-9	-9	-9	-9.0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	62	0	8	4.0	32	1	200
17	140	140	304	140	140	1	12364	3	10	2005	1	1	339	3	-9	2	48	1	1	0	-9	-9	-9	-9	-9	-9	-9	8	6.0	1154	52.0	1	-9	-9	-9	-9	-9	-9	-9	-9.0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9.0	-9	-9	-9
17	140	140	304	140	140	1	12364	3	10	2005	2	2	339	3	-9	2	-9	1	1	-9	-9	-9	-9	-9	-9	-9	-9	8	6.0	385	52.0	4	-9	-9	-9	-9	-9	-9	-9	-9.0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9.0	-9	-9	-9
13	270	270	13	3176	270	1	11784	1	7	2005	1	1	93	3	-9	2	70	1	1	0	-9	-9	-9	-9	-9	-9	-9	10	7.0	300	44.0	1	-9	-9	-9	-9	-9	-9	-9	-9.0	-9	-9	0.5	7	52	1	15600	1200	600	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9.0	-9	-9	-9
13	270	270	13	3176	270	1	11784	1	7	2005	2	1	914	3	-9	2	48	0	0	0	-9	-9	-9	-9	-9	-9	-9	8	6.0	153.84	52.0	1	-9	-9	-9	-9	-9	-9	-9	-9.0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9.0	-9	-9	-9
